,X,Y,Z,tipomovimento,model
0,824903,1470018,1029120,Brush_teeth,False
1,603300,1523665,1440431,Climb_stairs,False
2,59803,179730,169605,Climb_stairs,True
3,864861,811108,1018943,Comb_hair,False
4,252935,605113,569297,Descend_stairs,False
5,1535762,1631723,2100237,Drink_glass,False
6,197038,208462,264074,Drink_glass,True
7,1071077,1088068,1584670,Eat_meat,False
8,231062,301589,317501,Eat_soup,False
9,1044246,1618977,1946749,Getup_bed,False
10,108892,191830,215464,Getup_bed,True
11,273730,412958,498738,Liedown_bed,False
12,1304870,1610813,2055526,Pour_water,False
13,219237,269965,359562,Pour_water,True
14,587191,996350,1088275,Sitdown_chair,False
15,81407,123443,144330,Sitdown_chair,True
16,503961,978289,1043655,Standup_chair,False
17,57227,128660,132269,Standup_chair,True
18,647540,522130,706152,Use_telephone,False
19,1271127,3495310,3283409,Walk,False
20,43014,132988,111871,Walk,True
