,X,Y,Z,TipoMovimento,model
0,27.65439672801636,49.28150457608368,34.50065372623956,Brush_teeth,False
1,14.98584132346366,37.84750856972527,35.77999403845198,Climb_stairs,False
2,11.9606,35.946,33.921,Climb_stairs,True
3,36.79633253914228,34.50936010891763,43.3518975493533,Comb_hair,False
4,16.451056910569104,39.35694308943089,37.027447154471545,Descend_stairs,False
5,35.88899794354085,38.13149654140961,49.08013180033651,Drink_glass,False
6,36.48851851851852,38.60407407407408,48.90259259259259,Drink_glass,True
7,34.289825841977205,34.83378153412729,50.732168011269046,Eat_meat,False
8,34.57459224898997,45.127786922041,47.508753553793206,Eat_soup,False
9,22.79963319578175,35.34807100281653,42.50450863518264,Getup_bed,False
10,20.94076923076923,36.89038461538462,41.43538461538461,Getup_bed,True
11,23.914904770225405,36.078804822645466,43.573125982876114,Liedown_bed,False
12,31.312120557675232,38.65363664722962,49.32512658075972,Pour_water,False
13,30.032465753424656,36.98150684931507,49.25506849315069,Pour_water,True
14,23.453866432337435,39.79669276242211,43.46840549608564,Sitdown_chair,False
15,26.260322580645163,39.82032258064516,46.55806451612903,Sitdown_chair,True
16,19.827713734901838,38.48955423535429,41.06129755675335,Standup_chair,False
17,17.031845238095237,38.291666666666664,39.36577380952381,Standup_chair,True
18,42.531362889983576,34.29425287356322,46.38108374384237,Use_telephone,False
19,13.778557027337568,37.887896459774105,35.590966245366054,Walk,False
20,12.651176470588235,39.114117647058826,32.90323529411765,Walk,True
